body,sentimento
"CVM abre processo para apurar ressalva no balanço do 3º tri do Magazine LuizaComissão informa que não se pronuncia sobre a possibilidade de ressarcimentos a acionistas devido a erros do balanço, e que a investigação em curso refere-se apenas à ressalva do auditor",2
"Após denúncia e auditoria, Magalu identifica lançamentos indevidos de bonificações e revisa balançosA empresa afirma que, considerando todos os ajustes, o impacto total no patrimônio líquido do Magazine Luiza foi de R$ 322 milhões, o “equivalente a 1% dos ativos” segundo a companhia",2
"Ações como Atacadão roubam brilho de Petrobras entre emergentesParece que os gestores de recursos estão dispostos a apostar em ações de empresas com potencial de crescimento mais rápido de receita, como varejistas, em um ambiente de juros menos restritivo",2
"Mutirão do Emprego em SP terá 6.000 vagas de trabalho e estágioPrevisão é de participação de mais de 140 empresas, incluindo Carrefour, IBM, Magazine Luiza e Pão de Açúcar",2
"Shein desembarca no sertão e movimenta oficinas de costuraRegião de Seridó, que abriga 24 municípios no Rio Grande do Norte, trabalha com capacidade ociosa, de até 50% em algumas confecções",2
"Filme da Barbie amplia venda de bonecas e leva 'onda rosa' a roupas, almofadas e cafésA partir desta sexta (7), pelo menos duas grandes varejistas, Renner e Riachuelo, colocam no ar suas coleções temáticas",2
"Depois de suspensão, Magalu demite fundadores do Kabum com justa causaVarejista diz que os irmãos Thiago e Leandro Ramos estavam, em paralelo à atuação no Kabum, trabalhando em uma nova empresa, concorrente da companhia, mas os fundadores negam",2
"Como o Carrefour descobriu falhas em provisão de R$ 2 bilhões do BigMontante se refere a passivos trabalhistas de ações contra o Walmart, que mais tarde virou o Big, e que não foram provisionados no balanços da rede antes da venda ao Carrefour",2
"Americanas propõe remuneração 10% maior a conselho em 2023 e reduz em quase 30% valor a diretoresMontantes, que consideram salários fixos, pagamentos variáveis e ações, serão submetidos a assembleia de acionistas da companhia no dia 29 de abril",2
Venda on-line da Americanas cai para menos da metade; caixa é um terço de um mês normalÉ a primeira informação pública sobre o desempenho da empresa desde que veio à tona o escândalo contábil na companhia,2
"Americanas é suspensa do Instituto EthosVarejista é a 13ª companhia a ser suspensa nos 25 anos de história do instituto, depois que veio à tona o escândalo contábil de R$ 20 bilhões nos seus balanços financeiros",2
"Fundadores da Kabum vão à Justiça contra Itaú BBA por acordo com Magazine LuizaA transação, pelo valor de R$ 3,5 bilhões, foi concluída em dezembro de 2021",2
"Investidor pune Americanas, ações afundam 94% e são excluídas de 14 índices da B3Movimentação teve início após um fato relevante, publicado pela empresa no dia 11 de janeiro, indicando “inconsistências contábeis” bilionárias no  balanço",2
"Fortuna de Lemann, Sicupira e Telles cai R$ 6 bilhões desde o estouro do caso AmericanasHomem mais rico do Brasil, Lemann foi o mais afetado pela crise da companhia, com uma perda patrimonial de US$ 590 milhões (R$ 2,95 bilhões) de lá para cá",2
"Lojista aumenta preço para não vender na redePara evitar que recebíveis de cartões fiquem retidos, vendedores chegam a anunciar, por exemplo, notebooks por até R$ 40 mil, o dobro do valor cobrado pela concorrência",2
"Vendas de cosméticos no Natal superam desempenho médio do varejoO faturamento das vendas do setor de Cosméticos e Higiene Pessoal entre 19 e 25 de dezembro cresceu 23% em relação ao mesmo período de 2021, de acordo com o Índice Cielo de Varejo Ampliado (ICVA)",2
"Magazine Luiza reduz subsídios a grandes vendedores para focar nos pequenosA diretoria do Magalu destaca ainda que foram implementadas medidas para sustentar margens como repasse de preços, resultando em ganho de 50% nas margens ajustadas",2
"Magazine Luiza reverte lucro e registra prejuízo de R$ 166,7 milhões no 3º triAs receitas líquidas do conglomerado de varejo somaram R$ 8,8 bilhões entre julho e setembro, alta de 2,2% na comparação anual",2
"Westwing fecha marketplace alocado no Magalu e na AmericanasA empresa ainda está analisando abertura de novas unidades no país neste ano, após duas inaugurações de abril a junho",2
"Magalu e Samsung testam o potencial do 5GO impacto da quinta geração da telefonia móvel, que até o fim de setembro chega nas 27 capitais do país, começa a ser discutida por anunciantes e agências de publicidade",2
"Em pregão de perdas para a Vale, Ibovespa tem apenas leve altaVale ON cedeu 2,16%, após reduzir o “guidance” para produção de minério de ferro",2
Via diz que Klein tem dever legal de se retratar; acionista pede ‘estudo sério’ sobre remuneraçãoA empresa afirma que não existe conflito de interesse e que a proposta de remuneração foi aprovada pelos acionistas da companhia -- não por seus administradores,2
"Michael Klein critica remuneração da Via para o ano e companhia rebate empresárioPela proposta aprovada, segundo Klein, o plano de remuneração total atinge R$ 105 milhões, alta de 64% sobre 2021, e na diretoria, são R$ 96 milhões, elevação de 69%",2
"Magazine Luiza e Via aprovam remuneração do anoDesde o terceiro trimestre de 2021, as vendas nessas empresas têm perdido força,  com impacto na remuneração atrelada à performance",2
"Venda on-line perde força e varejo prioriza margemAmericanas, Mercado Livre, Magazine Luiza e Via vêm crescendo em ritmo menor neste ano frente a 2021, já a Shopee estaria mantendo o desempenho em razão da base de vendas menos madura",2
"Magazine Luiza despenca na Bolsa após resultado trimestralA companhia informou ontem que seu lucro líquido ajustado no terceiro trimestre foi de R$ 143,5 milhões de reais, uma queda de 30% quando comparado com o mesmo período de 2020",2
"O seriado ‘Making a Murderer’ e o analista de açõesMuitas vezes, o “procurador” tenta defender a sua tese de que as ações de uma companhia estão caras, realçando apenas os pontos negativos",2
"Lwart investirá R$ 1 bi para ampliar rerrefino de óleos lubrificantesUnidade de Lençóis Paulista vai elevar em 50% a capacidade de produção de óleo básico reciclado, que volta para o processo de produção",2
"Petrobras considera investimentos na Venezuela após redução de sanções dos EUAJean Paul Prates, presidente da Petrobras, negou ligação ideológica com o governo do país vizinho e destacou o fato de a Venezuela ter a maior reserva de petróleo do mundo",2
BNDES recebe doação de 20 milhões de euros da Alemanha para o Fundo AmazôniaOs recursos correspondem ao primeiro desembolso da doação de 35 milhões de euros divulgada pelo país europeu em janeiro deste ano,2
"Petróleo não é vocação que o Pará escolheu, mas apoiamos pesquisas na Margem Equatorial, diz governadorPara Helder Barbalho, a Petrobras precisa agir de forma preventiva e tem condições de financiar a transição ecológica na região",2
"FMI vê aumento da dívida bruta brasileira neste ano, para 88,1% do PIB, e novas altas nos 5 anos seguintes",2
"Magnata da mídia e fundador da Univision, venezuelano Gustavo Cisneros morre aos 78 anos",2
"Ex-CEO da BB Seguridade será diretor de negócios de varejo do ItaúUllisses Assis assumirá o cargo em seis meses, ao fim do período de licença, em conformidade com as diretrizes estipuladas em sua posição anterior",2
"Geração de energia bate recorde de expansão, liderada por eólicasNeste ano houve adição de mais 10,1 gigawatts (GW) de potência, superando marca histórica de 2016",2
"Varejo recua no uso de galpões, enquanto Shein expande áreasEntre as empresas com maior devolução estão a Americanas e o Big, já a varejista chinesa cresceu mais de 700% no total de espaço locado",2
"IGP-M deve terminar 2023 com deflação de 3%, apesar de aceleração em prévia, diz FGVSe o resultado se consolidar, será a primeira queda anual desde 2017, quando a deflação atingiu -0,52%, e a maior desde o Plano Real",2
"‘Novo pré-sal’ ameaça meta de fazer do Brasil potência ambientalExploração de petróleo na foz do Amazonas, que pode ampliar capacidade produtiva da Petrobras, divide o governo",2
"Casino negocia venda de supermercados com Auchan Retail e Groupement Les MousquetairesNegociação tem valor empresarial fixo de 1,35 bilhão de euros (cerca de US$ 1,47 bilhão, na cotação atual), excluindo ativos imobiliários",2
"Itaú Wealth incrementa fatia de mercado ‘ganhando em cima da nova concorrência’, diz ConstantiniCom os juros em queda, fluxo negativo que se viu neste ano no setor de fundos não deve se repetir, em especial nas carteiras de retorno absoluto como os multimercados",2
"Geladeira ‘eficiente’ afeta cadeia produtoraAs novas regras de eficiência energética para geladeiras, publicadas em uma resolução do Ministério de Minas e Energia (MME) na última sexta-feira, devem impactar mais de 80% dos modelos comercializados no Brasil, afirma Eletros",2
"Auren cresce 58% em 2023 e se torna líder do mercado livre de energiaEntre os fatores que influenciaram o aumento está a maior demanda de vendas para clientes varejistas, impulsionada pela abertura do mercado livre",2
"Moody’s eleva rating do Banco Pine em escala nacional em dois grausClassificação vai para ‘BBB+.br’, com perspectiva estável, uma semana depois após a S&P iniciar a cobertura da instituição",2
Cainvest vai oferecer negociação ‘cripto’ a fundosSerá a primeira instituição bancária a oferecer o serviço para clientes institucionais no país,2
"Prejuízo com greve em SP passa de R$ 60 milhões, diz associação comercialEstimativa de prejuízo se baseia no volume movimentado diariamente na Grande São Paulo e é feita pelo IEGV/ACSP (Instituto de Economia Gastão Vidigal da Associação Comercial de São Paulo)",2
"Na Manchester, ‘veia mestra’ é expansão orgânicaCom R$ 15 bi na custódia da XP, de 20 mil clientes, escritório fez expansão sem aquisições e agora conduz programa de formação de novos talentos",2
One assume Vermont Corporate e dobra de tamanho em câmbioAssessoria de investimentos ligada ao BTG Pactual fortalece braço de atendimento a empresas e para 2024 planeja novas aquisições,2
"S&P rebaixa rating nacional de Casas Bahia de ‘brA-’ para ‘brBBB-’ com perspectiva negativaO rebaixamento da nota se deu após a divulgação dos resultados financeiros do terceiro trimestre, com números indicando que o grupo não atingirá as métricas de crédito esperadas na análise anterior",2
"BEE4 pluga Itaú e Genial como corretoras de ações ‘tokenizadas’Casas serão as duas primeiras a atuar como distribuidoras de ativos digitais da plataforma, que faz parte do sandbox regulatório da CVM",2
"Analistas elogiam perfil de Noronha, mas destacam desafios do BradescoBanco tem de elevar rentabilidade no médio prazo, afetada pelo aumento da inadimplência e a competição mais acirrada",2
"Quem é Marcelo Noronha, o novo presidente do BradescoExecutivo chegou ao banco da Cidade de Deus quando este comprou as operações do BBVA no Brasil, há 20 anos",2
"Governo cede e vai reeditar portaria sobre trabalho em feriadosLuiz Marinho diz que grupo de trabalho vai analisar e revisar, ‘se necessário’ a medida, que só deve valer a partir de 1º de março ",2
"Volume investido por pessoa física atinge R$ 5,5 tri, com alta de 9,7% no ano, menos que o CDIVarejo de alta renda se destacou, com aumento de 12,3% em nove meses, chegando a R$ 1,6 trilhão, segundo dados da Anbima",2
"Mercantil capta R$ 1,25 bilhão com CitiÉ a primeira operação de securitização que o Mercantil faz desde 2018 e trata-se de volume grande, dado que a carteira de consignado do banco é de R$ 7,3 bi, mais de 55% do portfólio total",2
"Americanas faz baixa contábil de R$ 3 bi em ágios de aquisições Deste total, a maior fatia, de R$ 1,51 bilhão, refere-se ao Hortifruti Natural da Terra, ativo que a Americanas planejava vender, mas cujas negociações foram suspensas, depois de a companhia não conseguir chegar ao valor esperado",2
"Alibaba Group reverte prejuízo e reporta lucro de US$ 3,79 bilhões no trimestreA receita do grupo totalizou 224,80 bilhões de yuans (US$ 30,81 bilhões) no trimestre encerrado em setembro, valor que representa um aumento de 9% na comparação anual",2
"Dados de consumo e inflação apontam ‘pouso suave’ dos EUAAs vendas no varejo caíram 0,1% ao mês em outubro, menos do que o previsto, enquanto os preços ao produto caíram inesperadamente 0,5% no mês passado, a maior queda desde abril de 2020",2
"Lucro da Allos cai 88% no 3º trimestreA operadora de shoppings, surgida da união entre Aliansce Sonae e BR Malls informou lucro líquido pró-forma de R$ 23,6 milhões, no período",2
"BB planeja campanha massiva de incentivo para adesão ao DesenrolaExecutivo disse que o banco considera o programa “um sucesso”, mas que há espaço para aprimoramentos",2
"Grupo Mateus lucra R$ 309 milhões no 3º trimestreMontante equivale a crescimento de 7,7%, na comparação com igual período de 2022",2
